Station,Year,Rides
40490,2007,446399
40490,2008,520664
40490,2009,517482
40490,2010,596926
40490,2011,664960
40490,2012,694508
40490,2013,777998
40490,2014,809531
40490,2015,883831
40490,2016,866865
40490,2017,776497
40500,2001,2179181
40500,2002,2127751
40500,2003,2235546
40500,2004,2567287
40500,2005,3045923
40500,2006,2165014
40500,2007,299
40500,2008,123
40510,2001,262618
40510,2002,299220
40510,2003,331084
40510,2004,339411
40510,2005,395184
40510,2006,464500
40510,2007,486434
40510,2008,476586
40510,2009,423512
40510,2010,410023
40510,2011,417310
40510,2012,426223
40510,2013,2259597
40510,2014,483968
40510,2015,473620
40510,2016,432564
40510,2017,392559
40520,2001,210629
40520,2002,205118
40520,2003,204613
40520,2004,211013
40520,2005,216374
40520,2006,217380
40520,2007,212575
40520,2008,235758
40520,2009,245849
40520,2010,255623
40520,2011,262524
40520,2012,269911
40520,2013,266600
40520,2014,272856
40520,2015,282795
40520,2016,290644
40520,2017,261438
40530,2001,1287917
40530,2002,1311915
40530,2003,1328382
40530,2004,1296451
40530,2005,1373373
40530,2006,1389067
40530,2007,604969
40530,2008,1090365
40530,2009,1579186
40530,2010,1508265
40530,2011,1664397
40530,2012,1725084
40530,2013,1809919
40530,2014,1789098
40530,2015,1725195
40530,2016,1756860
40530,2017,1562934
40540,2001,1629146
40540,2002,1640578
40540,2003,1625906
40540,2004,1538379
40540,2005,1584470
40540,2006,1670835
40540,2007,1639981
40540,2008,1673676
40540,2009,1779647
40540,2010,1920234
40540,2011,2050672
40540,2012,2102616
40540,2013,2016852
40540,2014,1974643
40540,2015,1939936
40540,2016,1871848
40540,2017,1643922
40550,2001,1112612
40550,2002,1087009
40550,2003,1082957
40550,2004,1124333
40550,2005,1210437
40550,2006,1254505
40550,2007,1191347
40550,2008,1220056
40550,2009,1200865
40550,2010,1239094
40550,2011,1293824
40550,2012,1367116
40550,2013,1396907
40550,2014,1388347
40550,2015,1438569
40550,2016,1359908
40550,2017,1235487
40560,2001,3346825
40560,2002,3544078
40560,2003,2994265
40560,2004,2912582
40560,2005,2938277
40560,2006,3116313
40560,2007,3090797
40560,2008,3187285
40560,2009,3515311
40560,2010,3543704
40560,2011,3535575
40560,2012,3457125
40560,2013,3246385
40560,2014,3361320
40560,2015,3389970
40560,2016,3296447
40560,2017,2831677
40570,2001,883921
40570,2002,886875
40570,2003,900328
40570,2004,911275
40570,2005,977986
40570,2006,1054942
40570,2007,1005917
40570,2008,1126328
40570,2009,1125766
40570,2010,1240954
40570,2011,1400916
40570,2012,1513502
40570,2013,1575336
40570,2014,1309557
40570,2015,1604799
40570,2016,1653626
40570,2017,1601049
40580,2001,416261
40580,2002,343020
40580,2003,324012
40580,2004,368652
40580,2005,513247
40580,2006,564918
40580,2007,568079
40580,2008,620949
40580,2009,585577
40580,2010,575428
40580,2011,618341
40580,2012,650765
40580,2013,664048
40580,2014,693901
40580,2015,726565
40580,2016,677466
40580,2017,627035
40590,2001,1290172
40590,2002,1299332
40590,2003,1290697
40590,2004,1339084
40590,2005,1443904
40590,2006,1517323
40590,2007,1360581
40590,2008,1564249
40590,2009,1477443
40590,2010,1700844
40590,2011,1933082
40590,2012,2088166
40590,2013,2176696
40590,2014,1856881
40590,2015,2233065
40590,2016,2226378
40590,2017,2006129
